2 0.000000
7 0.000000
12 0.000000
17 0.000000
22 0.000000
27 0.001000
32 0.000000
37 0.001000
42 0.001000
47 0.001000
52 0.003000
57 0.003000
62 0.004000
67 0.004000
72 0.006000
77 0.007000
82 0.008000
87 0.010000
92 0.012000
97 0.013000
102 0.016000
107 0.018000
112 0.021000
117 0.022000
122 0.025000
127 0.030000
132 0.034000
137 0.036000
142 0.041000
147 0.044000
152 0.049000
157 0.055000
162 0.059000
167 0.065000
172 0.072000
177 0.078000
182 0.084000
187 0.090000
192 0.100000
197 0.105000
202 0.116000
207 0.124000
212 0.132000
217 0.142000
222 0.152000
227 0.162000
232 0.171000
237 0.184000
242 0.192000
247 0.205000
252 0.220000
257 0.232000
262 0.249000
267 0.260000
272 0.279000
277 0.291000
282 0.308000
287 0.323000
292 0.341000
297 0.360000
