2 0.000000
7 0.000000
12 0.000000
17 0.000000
22 0.000000
27 0.001000
32 0.000000
37 0.001000
42 0.001000
47 0.002000
52 0.002000
57 0.003000
62 0.004000
67 0.005000
72 0.006000
77 0.008000
82 0.008000
87 0.011000
92 0.011000
97 0.014000
102 0.016000
107 0.018000
112 0.020000
117 0.022000
122 0.030000
127 0.031000
132 0.033000
137 0.036000
142 0.039000
147 0.045000
152 0.051000
157 0.055000
162 0.060000
167 0.079000
172 0.071000
177 0.077000
182 0.085000
187 0.095000
192 0.151000
197 0.107000
202 0.130000
207 0.123000
212 0.133000
217 0.141000
222 0.149000
227 0.161000
232 0.171000
237 0.184000
242 0.193000
247 0.209000
252 0.218000
257 0.232000
262 0.248000
267 0.264000
272 0.277000
277 0.295000
282 0.309000
287 0.323000
292 0.342000
297 0.361000
