2 0.000000
7 0.000000
12 0.000000
17 0.000000
22 0.000000
27 0.000000
32 0.001000
37 0.001000
42 0.002000
47 0.002000
52 0.003000
57 0.003000
62 0.004000
67 0.005000
72 0.006000
77 0.007000
82 0.009000
87 0.010000
92 0.013000
97 0.014000
102 0.020000
107 0.019000
112 0.021000
117 0.023000
122 0.026000
127 0.029000
132 0.033000
137 0.037000
142 0.041000
147 0.045000
152 0.050000
157 0.055000
162 0.060000
167 0.067000
172 0.072000
177 0.083000
182 0.085000
187 0.091000
192 0.101000
197 0.108000
202 0.118000
207 0.123000
212 0.133000
217 0.142000
222 0.151000
227 0.162000
232 0.173000
237 0.183000
242 0.196000
247 0.209000
252 0.248000
257 0.238000
262 0.248000
267 0.261000
272 0.279000
277 0.292000
282 0.309000
287 0.325000
292 0.343000
297 0.362000
